Age_interval,Number
0,13786434
1,15657955
2,15617375
3,15250805
4,15220041
5,14732137
6,14804470
7,13429161
8,13666956
9,14248825
10,14454357
11,13935714
12,15399559
13,15225032
14,15893800
15,18024484
16,18790521
17,20775369
18,20755274
19,21543466
20,28026954
21,26556649
22,24474192
23,25695955
24,22658768
25,19933683
26,19709177
27,19480836
28,22322147
29,19568009
30,18928369
31,19866458
32,19474874
33,18179478
34,20689024
35,21186516
36,22906980
37,23990208
38,24730460
39,25211795
40,27397219
41,24956297
42,27032542
43,21355748
44,24012158
45,23962574
46,23355778
47,26972157
48,20075084
49,11228960
50,14097008
51,12838832
52,16617709
53,18351980
54,16847642
55,17610528
56,17738127
57,16093888
58,16167933
59,13701998
60,13618204
61,13029125
62,11276853
63,10791633
64,9951467
65,9073411
66,8640965
67,7942141
68,7740868
69,7715897
70,7389412
71,6265718
72,6893225
73,6343869
74,6080173
75,5632477
76,5175500
77,5082383
78,4254858
79,3706915
80,3737259
81,2816693
82,2757918
83,2237138
84,1824190
85,1648160
86,1344215
87,1065276
88,858879
89,715398
90,553805
91,371079
92,287676
93,209291
94,156456
95,117522
96,90889
97,68648
98,54689
99,38231
100岁及以上,35934
